"categoria"|"descricao"|"receita_total"|"valor_total"|"rentabilidade_produto"|"pl_total_mes_atual"|"rentabilidade_cdi_mes_atual"|"data_posicao"
COE|MS Morgan Stanley Global Opportunity: Alta Alavancada - 3,5 anos - 16.07.2021|1689.274742972792|10000.0|0.1689105832389553|4346045.5||2023-10-31
Ações|ABCB10|1689.274742972792|1201.8399620056152|1.4044052378806033|4346045.5||2023-10-31
COE|XP Man Fundo Multimercado - IPCA + Alta Ilimitada - 5y - 29.09.2021|1689.274742972792|11392.6484375|0.14826460130302682|4346045.5||2023-10-31
Ações|ABCB4|1689.274742972792|23280.040195465088|0.07256010593984738|4346045.5||2023-10-31
COE|XP Man Fundo Multimercado - IPCA + Alta Ilimitada - 5y - 06.10.2021|1689.274742972792|22758.56640625|0.07422262414054165|4346045.5||2023-10-31
Ações|ALUP11|1689.274742972792|22605.778261184692|0.07472425851467906|4346045.5||2023-10-31
COE|XP Índice de Ações Globais - IPCA + Alta Ilimitada - 5y - 28.10.2021|1689.274742972792|33802.5703125|0.04997326398827541|4346045.5||2023-10-31
Ações|B3SA3|1689.274742972792|26230.859224319458|0.06439782741006293|4346045.5||2023-10-31
Custodia Remunerada|MRVE3|1689.274742972792|3823.469970703125|0.44170166216842344|4346045.5||2023-10-31
Ações|BBSE3|1689.274742972792|7702.881568908691|0.21927579335985165|4346045.5||2023-10-31
Custodia Remunerada|ITUB4|1689.274742972792|37482.8984375|0.04506667698370433|4346045.5||2023-10-31
Ações|BEEF3|1689.274742972792|10784.599553108215|0.15662316542115393|4346045.5||2023-10-31
Custodia Remunerada|B3SA3|1689.274742972792|37956.80078125|0.04450402047020707|4346045.5||2023-10-31
Ações|BOVA11|1689.274742972792|0.0|1689.274742972792|4346045.5||2023-10-31
Fundos de Investimento|Trend Investback FIC FIRF Simples|1689.274742972792|58.060001373291016|28.602687160395845|4346045.5||2023-10-31
Ações|CMIG4|1689.274742972792|7904.249588012695|0.2136902477480739|4346045.5||2023-10-31
Proventos|CPLE6|1689.274742972792|149.27999877929688|11.240848793548917|4346045.5||2023-10-31
Ações|CPLE6|1689.274742972792|8227.35768699646|0.2052991383253073|4346045.5||2023-10-31
Fundos de Investimento|XP Crédito Estruturado 120 FIC FIM CP|1689.274742972792|37307.87890625|0.04527808909020324|4346045.5||2023-10-31
Ações|CSUD3|1689.274742972792|5975.999879837036|0.2826292081201866|4346045.5||2023-10-31
Fundos de Investimento|XP Crédito Estruturado 360 FIC FIM CP|1689.274742972792|122213.9921875|0.01382215645344998|4346045.5||2023-10-31
Ações|ITUB4|1689.274742972792|30607.651628494263|0.05518945308261175|4346045.5||2023-10-31
Renda Fixa|DEB PETRO RIO JAGUAR PETROLEO - AGO/2032|1689.274742972792|4125.8359375|0.4093389629625401|4346045.5||2023-10-31
Ações|MRVE3|1689.274742972792|5117.739953041077|0.33001769155496613|4346045.5||2023-10-31
Renda Fixa|DEB CSN MINERACAO - JUL/2032|1689.274742972792|5342.9306640625|0.3161109020992783|4346045.5||2023-10-31
Ações|MULT3|1689.274742972792|8271.01978302002|0.20421551051417544|4346045.5||2023-10-31
Renda Fixa|CDB BANCO C6 CONSIGNADO S.A. - JAN/2026|1689.274742972792|24128.833984375|0.07000772338784687|4346045.5||2023-10-31
Ações|RRRP3|1689.274742972792|9076.96379852295|0.1860852037378304|4346045.5||2023-10-31
Renda Fixa|DEB CSN MINERACAO - JUL/2037|1689.274742972792|24351.2109375|0.06936843423820199|4346045.5||2023-10-31
Ações|SQIA3|1689.274742972792|6570.000171661377|0.257080307235129|4346045.5||2023-10-31
Renda Fixa|DEB COPEL DISTRIBUICAO - JUN/2031|1689.274742972792|5585.22998046875|0.30239978462738515|4346045.5||2023-10-31
