Data;RF LP Pvt;MM Juros Moedas Pvt;MM Global Vita Pvt;Acoes Dual Strat Pvt;BB Cambial Dolar Vip
31.10.2023;2,674661758;3,727031673;3,531841274;1,666616709;23,76008448
30.10.2023;2,67336901;3,725000069;3,518193636;1,638970782;24,03023558
27.10.2023;2,672130844;3,727926346;3,508997602;1,630863677;24,09725821
26.10.2023;2,670992885;3,730017993;3,50662094;1,642320655;23,90602546
25.10.2023;2,66956667;3,724277348;3,509765076;1,663431857;23,8134728
24.10.2023;2,668259165;3,723034834;3,524213598;1,633887594;23,86665045
23.10.2023;2,66678188;3,718646763;3,531132573;1,647745517;23,81866101
20.10.2023;2,665374399;3,717079053;3,525289601;1,632355331;23,88010486
19.10.2023;2,663859353;3,712059868;3,522895276;1,637039199;23,96667166
18.10.2023;2,662672986;3,713075172;3,541070463;1,649776098;24,05686929
17.10.2023;2,661402641;3,712377543;3,548947935;1,655010835;24,05109528
16.10.2023;2,660144003;3,712953174;3,563617928;1,683549611;23,99407507
13.10.2023;2,658838643;3,709035739;3,563596623;1,692819916;23,99740051
11.10.2023;2,657596141;3,710018454;3,54818766;1,680761465;24,2723281
10.10.2023;2,656380252;3,708989219;3,562729945;1,702725263;24,06825328
09.10.2023;2,655150973;3,705220546;3,565005077;1,700457571;24,09676198
06.10.2023;2,653883354;3,70085484;3,537416144;1,673804872;24,39248044
05.10.2023;2,652612709;3,698872384;3,531262649;1,657198821;24,51890707
04.10.2023;2,6513061;3,698413761;3,516175684;1,647669428;24,5604365
03.10.2023;2,649965432;3,694697531;3,51512304;1,654256523;24,4743599
02.10.2023;2,648832905;3,696833181;3,508694201;1,648304621;24,46589689
29.09.2023;2,647838235;3,698029311;3,53261841;1,676301318;24,11121405
28.09.2023;2,646340758;3,694501105;3,544644009;1,702888748;23,89793661
27.09.2023;2,645331316;3,692300769;3,537263381;1,688279278;23,98486116
26.09.2023;2,64422485;3,693248044;3,528056571;1,663817034;24,01082684
25.09.2023;2,643076623;3,693134226;3,533375358;1,6619702;23,6860481
22.09.2023;2,641817925;3,692655607;3,546303382;1,688529042;23,60525883
21.09.2023;2,640480743;3,690952731;3,553332392;1,690411915;23,41697535
20.09.2023;2,639153273;3,690758566;3,552519784;1,693374795;23,41760423
19.09.2023;2,637767115;3,688492482;3,583580241;1,734038275;23,09467498
18.09.2023;2,636497699;3,687832203;3,576667986;1,723165904;23,13766978
15.09.2023;2,635176234;3,686122944;3,582323764;1,730821369;23,01873232
14.09.2023;2,633992551;3,684913015;3,585760578;1,738203139;23,1052707
13.09.2023;2,632633538;3,683089055;3,592012013;1,750624886;23,12513427
12.09.2023;2,63142745;3,680626501;3,581400461;1,734792963;23,30095527
11.09.2023;2,630006329;3,678588945;3,57787935;1,730798649;23,46831649
08.09.2023;2,628613987;3,675891987;3,577473878;1,715895165;23,38447339
06.09.2023;2,627127625;3,673591522;3,56822993;1,694585615;23,62325241
05.09.2023;2,625819869;3,672203588;3,568043816;1,703823758;23,63272018
04.09.2023;2,624639701;3,672042534;3,577917652;1,723629159;23,59074427
01.09.2023;2,623300673;3,670293409;3,582864453;1,731873171;23,37429962
